GeneSymbol,GeneID,GeneLength
DENND1C,79958,3561
OR7D4,125958,939
C12orf52,84934,1775
CTNNA3,29119,5089
DEFB130,245940,240
ECHDC2,55268,3661
C2orf7,84279,1081
KSR2,283455,17008
C2CD4B,388125,1576
SGK196,84197,1615
DEFB129,140881,671
RIOK3,8780,4031
GOLGA9P,283796,1899
MTA2,9219,3313
UTP23,84294,3689
COX11,1353,3107
GATAD2A,54815,6091
OR52I2,143502,1052
SNORA81,677847,178
FLJ25328,148231,1797
CDK15,65061,3017
SEC11A,23478,1519
COMMD3,23412,1739
DPYD,1806,5726
FAM155B,27112,4017
SNORD115-35,100033809,82
FIS1,51024,1155
EIF3J,8669,2556
CCR10,2826,1242
KCTD12,115207,6237
MYCBPAP,84073,3934
TAS2R9,50835,1074
TNFSF12,8742,1624
TEX264,51368,2430
HES2,54626,5295
CCDC3,83643,4102
CDH13,1012,4085
MPI,4351,2400
WARS2,10352,3469
LCE1B,353132,1139
MST1P9,11223,4766
PDE1B,5153,3543
ZNF75A,7627,2599
SDSL,113675,1393
RAI1,10743,7742
NCRNA00111,54090,454
NARFL,64428,5119
WDR54,84058,1118
OR4N3P,390539,684
GUSBP1,728411,6713
BEND4,389206,8944
ST6GAL1,6480,4529
PSMD11,5717,1947
PGAP1,80055,12148
BCORL1,63035,6962
TCF23,150921,643
OR1Q1,158131,943
HINT2,84681,970
POR,5447,3337
POLDIP2,26073,2719
EIF3CL,728689,5232
FAM19A2,338811,4859
RALGPS2,55103,6627
MRPL41,64975,603
SNAPC3,6619,3718
LAT2,7462,2190
DCI,1632,1026
ACR,49,1751
PMFBP1,83449,4490
GLRA4,441509,2157
ACACA,31,11751
MKL2,57496,11658
MET,4233,7288
JUB,84962,4741
LOC285401,285401,1967
DEFB132,400830,2118
DYSF,8291,7764
LOC283867,283867,1760
SNX10,29887,2952
RRN3P2,653390,2472
UBR2,23304,7650
HS6ST1,9394,3951
APOOL,139322,3109
TMEM195,392636,2475
RNF20,56254,3939
CABC1,56997,6685
C13orf26,122046,996
LIMS3-LOC440895,100271835,3342
SPIN3,169981,5708
CD200R1,131450,2397
SLC8A3,6547,8059
CDC14B,8555,5885
LOC401463,401463,2870
DFNB59,494513,1531
COMTD1,118881,1449
ORAOV1,220064,2949
TMSB10,9168,482
HBZ,3050,589
RNF113A,7737,1295
TTTY3B,474148,344
ARSA,410,2239
C22orf43,51233,1278
AKAP12,9590,8898
TRA2A,29896,2240
NR1H2,7376,2669
C15orf38,348110,2667
SAFB,6294,3242
SNORA40,677822,126
METTL5,29081,1601
SSX8,280659,1650
IDH3A,3419,3451
SRI,6717,3405
QRICH2,84074,5457
SLC13A5,284111,5099
OR2A12,346525,932
P2RX2,22953,1932
B4GALNT2,124872,2110
ZCCHC8,55596,3226
UBR1,197131,7772
STAC,6769,3346
SNORD99,692212,80
CYP1A1,1543,3154
CNN2,1265,2646
LGI4,163175,4129
WHSC1L1,54904,7578
GRTP1,79774,2956
SNORD113-1,767561,70
KRTAP3-3,85293,704
CNTN2,6900,9418
TTC39B,158219,3641
POT1,25913,4647
FIGN,55137,4535
MARK4,57787,5805
ZBED4,9889,6886
SGPP2,130367,1342
TMUB2,79089,3410
KIAA1529,57653,8466
LPCAT1,79888,4089
PCDHA11,56138,6156
MED29,55588,3565
EPB41L2,2037,7860
IFT88,8100,5790
SPIRE2,84501,3901
CETN4P,729338,629
MYO1B,4430,7861
HNRNPCL1,343069,1106
OR2T35,403244,972
DBC1,1620,3495
OR52A5,390054,950
KCNAB1,7881,5437
MANEAL,149175,3107
CPSF7,79869,4222
C12orf56,115749,1687
IAPP,3375,1975
STK32A,202374,2828
ITGA4,3676,7676
WDR86,349136,2511
SAMD14,201191,2037
SNORD87,641648,76
PJA1,64219,2854
APOBEC3C,27350,1107
IL3RA,3563,1709
FGF1,2246,4639
CPXM2,119587,4649
NIPA1,123606,6669
ZNF148,7707,9658
MMRN2,79812,4177
ZNF451,26036,8368
LOC440957,440957,449
CSRNP3,80034,3282
KPRP,448834,2523
OR2T6,254879,927
DHH,50846,1932
GNL2,29889,2693
KCNQ1,3784,3598
TSSK2,23617,1816
SLC35F3,148641,3195
SNORD42B,26808,67
ZNF26,7574,3059
SFTA3,253970,2001
DBX2,440097,2722
RMND5A,64795,7744
SFXN2,118980,2725
SLC4A5,57835,7709
LOC285501,285501,1037
SNORD114-11,767589,73
DAAM2,23500,7371
AKR1C4,1109,1192
TEX261,113419,3412
SMC1A,8243,10080
NUDT12,83594,4061
CDCA2,157313,3894
KRT15,3866,3372
PMS2L4,5382,1395
BREA2,286076,1001
SDCCAG3,10807,2378
RUNDC1,146923,3835
C17orf63,55731,4424
C13orf28,122258,757
TNIP2,79155,2039
IKBKAP,8518,7933
GDI2,2665,2494
C10orf50,645528,1081
LOC400927,400927,3393
KIAA1383,54627,5455
GNG3,2785,902
ZNF610,162963,2381
UBFD1,56061,4929
FUT4,2526,6046
ATP6V1B2,526,4645
KLHDC8B,200942,2470
GPR17,2840,2598
NFATC2IP,84901,4517
ART4,420,1456
LOC144776,144776,2018
HIST1H2BC,8347,1190
PKLR,5313,3162
DYDC1,143241,3398
ZFP62,643836,4180
LOC144486,144486,2564
SYTL1,84958,4197
C7orf27,221927,5048
TRIM60,166655,2016
PFKM,5213,3935
TNFAIP8L3,388121,2256
IGJ,3512,1456
GALNT11,63917,7842
SAA1,6288,716
REM1,28954,1655
ARFGEF1,10565,11113
SIRT5,23408,5241
GPR4,2828,3045
ENDOU,8909,2444
TFF2,7032,705
FANCF,2188,3309
SLC9A10,285335,4124
ACOT7,11332,2461
CAPN8,388743,2099
PLAU,5328,2692
SAMD4A,23034,11174
BCL9L,283149,7737
LEPRE1,64175,6486
ENO1,2023,3313
DNAJC1,64215,2090
LOC113230,113230,2186
MAGEH1,28986,1461
T,6862,2630
SFRS6,6431,4012
TRIM50,135892,2154
LCA5L,150082,5559
ZMIZ1,57178,11893
TRIT1,54802,2390
FRMD8,83786,3749
ZNF137,7696,2483
C9orf27,58483,562
BBS1,582,4080
BCMO1,53630,2680
MOBKL1A,92597,8526
ASXL2,55252,7235
COX5A,9377,767
SH3BP5,9467,3496
CAMK1,8536,2497
HDGFRP2,84717,3954
C20orf20,55257,1634
PMM1,5372,1283
THOC6,79228,1420
SNORA41,619569,130
ELK3,2004,2151
SASS6,163786,3895
SLC7A3,84889,2246
ZNF815,401303,2924
TXLNA,200081,5044
RETN,56729,478
MAN1A1,4121,4621
ARNT,405,4929
RYK,6259,2938
DAD1,1603,697
SSPN,8082,4778
C14orf135,64430,4503
SFXN4,119559,1821
GTF2H2,2966,3851
PABPC1L2B,645974,2199
MICAL3,57553,20413
DHX35,60625,3320
CTSC,1075,7621
CYP4A22,284541,3046
CHRNA9,55584,1892
C2orf67,151050,8641
TTC7B,145567,3679
UNC119B,84747,4810
SETBP1,26040,10969
NRG3,10718,4875
ULK1,8408,5221
CSTF3,1479,3175
KRT6A,3853,2449
BTD,686,2709
PAK3,5063,4006
SEPT4,5414,3971
XKR7,343702,2909
DHRS3,9249,2890
TPRX1,284355,1839
TRIM7,81786,4715
C11orf35,256329,2090
LOC401397,401397,1126
ZNF287,57336,4278
SHE,126669,6239
WBSCR27,155368,1380
ARPC2,10109,2906
ODF3,113746,3082
ATP6V1G3,127124,674
OR4D11,219986,936
TBRG4,9238,3946
DSN1,79980,2747
SOCS1,8651,1216
C11orf10,746,410
TBCE,6905,2240
STMN1,3925,3693
DPF2,5977,2450
ZDHHC8P1,150244,2666
TPD52L3,89882,3220
ESRP2,80004,4065
C6orf222,389384,3733
ZNF580,51157,2273
NUDT17,200035,2554
PRKCI,5584,5091
UBOX5,22888,4328
TGFBR2,7048,4701
SNORA36B,677818,131
BEAN,146227,2766
GRAP,10750,2032
TMOD2,29767,9264
C11orf53,341032,1049
ZNF2,7549,3951
ALG5,29880,1347
C3orf24,115795,1067
GFPT2,9945,3011
FAM18B,51030,1803
SAR1A,56681,3065
ATP2B1,490,6931
PTK7,5754,6431
SAMSN1,64092,2324
TULP4,56995,11365
TTC23L,153657,4021
ZNF281,23528,3519
DSC1,1823,4254
ADM,133,2060
HOOK1,51361,6134
LOC151009,151009,3607
ZNF616,90317,3144
C1orf96,126731,5672
PDE6C,5146,2967
APPL1,26060,6340
GABPB1,2553,3261
LCE1A,353131,332
CLK4,57396,5029
TBC1D10A,83874,2104
FMNL2,114793,5814
CYGB,114757,2176
ARHGAP4,393,3506
ARNT2,9915,7091
DLGAP4,22839,8330
ITGB1BP3,27231,1139
MN1,4330,7692
RAB39B,116442,3482
OR4F4,26682,918
PDXDC1,23042,5693
MCM6,4175,3743
VASH2,79805,7552
RPL36A,6173,2481
SLC25A37,51312,5218
IGFL2,147920,953
REPS2,9185,8011
ZFP112,7771,3971
IFLTD1,160492,2489
MYO5B,4645,10081
DSEL,92126,9281
ZNF772,400720,5418
GATAD2B,57459,7475
WDR48,57599,3959
LSM10,84967,850
ATAD2,29028,6458
RBMX,27316,5152
VAPB,9217,3886
CYorf15A,246126,3440
OR8D2,283160,935
PTPRK,5796,7372
EGOT,100126791,1460
DNAJB2,3300,3863
SETD3,84193,4968
POP5,51367,800
TACC1,6867,10570
MAGEB1,4112,1967
RNGTT,8732,4822
SHROOM1,134549,3934
TMEM174,134288,1756
C4orf34,201895,1678
RBM43,375287,3913
MFSD1,64747,2285
FAM18A,780776,4944
TIA1,7072,5136
SEC22B,9554,1818
AP3M2,10947,4534
PRR18,285800,2704
FSIP1,161835,2811
ITIH5,80760,7383
LOC441454,441454,1380
HOXC13,3229,2395
FDPSL2A,619190,4980
TNF,7124,1686
KIAA1191,57179,2825
KIAA1522,57648,5701
SNX16,64089,3454
TSPAN3,10099,1824
FAM72A,729533,1859
DENND2D,79961,2156
OR3A2,4995,1084
UBN2,254048,16009
TUBB2B,347733,2018
PLA2G4D,283748,3583
FXR1,8087,3257
POM121L10P,646074,10843
SP3,6670,4256
GPR133,283383,6039
ADPRHL1,113622,2173
HNRNPH3,3189,3441
SNX15,29907,2464
CRYGC,1420,627
RELT,84957,4251
INSL6,11172,706
PION,54103,5307
AQP6,363,5129
RABEP1,9135,6237
PLEKHB2,55041,5720
GNGT1,2792,2178
KRTAP10-7,386675,1570
NOB1,28987,1715
MFI2,4241,3264
PPM1A,5494,11497
EVC,2121,7205
CCDC76,54482,3142
C3orf59,151963,3365
SLC2A9,56606,3993
SNORA48,652965,135
PMS2L11,441263,2169
PLA2G15,23659,3488
POGK,57645,4140
ADI1,55256,4615
ZNF829,374899,4278
TTC23,64927,4999
RBAK,57786,6652
CLDN19,149461,3602
VAX2,25806,1144
SNORA78,677844,127
GPR27,2850,1127
KIF2B,84643,2335
SMEK2,57223,5764
RASGRP4,115727,3218
IFNA21,3452,1024
C12orf61,283416,1684
CLPS,1208,539
SNORD56,26793,70
SPNS3,201305,1892
LOC134466,134466,2523
SYNC,81493,3493
PALM3,342979,2260
C3orf51,711,2253
GFI1B,8328,1790
KRTAP8-1,337879,555
KRTCAP2,200185,1710
CCL25,6370,1001
APEX2,27301,1976
STC2,8614,5901
RPS10,6204,836
HAS2,3037,3275
CBX6,23466,5160
PPAN,56342,1744
PTPN20A,653129,2478
AIM2,9447,1484
BAG1,573,4014
KLC2,64837,4480
CYP3A4,1576,2768
NKX6-3,157848,570
TMEM188,255919,2096
HPCAL1,3241,6006
SCGB3A2,117156,515
EHD1,10938,4916
PML,5371,12270
CNOT1,23019,9655
JAG2,3714,5147
IDH3G,3421,2049
AFP,174,2326
PHF21A,51317,10074
OGDH,4967,4833
GPR172A,79581,2221
WHSC2,7469,3149
FLJ33360,401172,2419
LOC283392,283392,3159
NOLC1,9221,3969
IGSF10,285313,8077
HTR3C,170572,1697
TMEM213,155006,3388
ZFP14,57677,5682
TMEM106C,79022,1587
WDR69,164781,1937
DAZAP1,26528,2271
ACY3,91703,1299
TRIM37,4591,4872
PTTG1,9232,805
CES3,23491,4313
GET4,51608,3221
CST9,128822,1687
MAP1LC3B2,643246,832
ZNF257,113835,3639
SEC14L4,284904,2626
TTC30A,92104,4668
FAAH2,158584,2010
PIP4K2C,79837,3218
RBM5,10181,5794
AQP11,282679,1687
C6orf218,221718,3018
SLC4A2,6522,4795
DDX3X,1654,6941
LANCL2,55915,4351
LOC646762,646762,5783
MTNR1A,4543,1105
C17orf47,284083,2077
C21orf54,728409,594
HMGB1,3146,5309
ATPBD4,89978,4063
RBM33,155435,10767
C8orf76,84933,1708
OPN5,221391,3694
ATF6B,1388,3620
NAA10,8260,1866
ZAR1,326340,1434
PCDH10,57575,5842
FAM138E,100124412,1129
LRRC52,440699,1122
GLIS1,148979,2816
GMPR,2766,1513
EPSTI1,94240,1573
SRP54,6729,2279
OLAH,55301,1834
LMBR1L,55716,3435
OR2M3,127062,938
MMAA,166785,6696
HESRG,790952,3136
PARD6G,84552,3860
FADS2,9415,4024
BTBD19,149478,1637
ZHX1,11244,5216
ATXN2,6311,9284
RCE1,9986,1471
ZNF385B,151126,4325
C1orf94,84970,3151
ANXA8,653145,4801
FNDC7,163479,3058
GALR3,8484,1157
CCDC155,147872,3418
OR1K1,392392,950
PPIAL4D,645142,783
SLC6A13,6540,3129
VENTX,27287,2411
RCVRN,5957,1277
CRYGD,1421,706
SHMT2,6472,2601
IRGM,345611,1999
CPB1,1360,1458
CLEC18A,348174,2563
RNF41,10193,3705
CLEC1A,51267,1917
DERA,51071,2117
FAM101B,359845,3617
KRT82,3888,2681
ALPPL2,251,2492
XCL2,6846,563
TCF7,6932,4956
NOP58,51602,2194
LOC221122,221122,1236
THAP4,51078,2247
LRRC6,23639,1690
NCRNA00029,100144596,1748
P2RY1,5028,3106
NIPAL1,152519,2188
C9orf89,84270,1018
C9orf16,79095,1662
LOC100192426,100192426,616
SKAP2,8935,4416
TMPRSS5,80975,2313
SYDE1,85360,3955
MLKL,197259,2537
C8orf83,286144,4325
ZNF578,147660,7140
SNORA68,26780,133
RYR2,6262,16496
CSNK1A1P,161635,1689
TBC1D19,55296,2531
BUB1B,701,3755
ANGPTL4,51129,1903
ARMS2,387715,807
STRADA,92335,3090
PELP1,27043,3755
CYP2C18,1562,2543
PTTG1IP,754,2736
ZAN,7455,8735
DUSP15,128853,2961
CR1L,1379,2147
EPHX3,79852,1937
RUSC1,23623,4849
ELFN1,392617,3742
SMAD4,4089,11549
FAM75A5,727905,4224
PSENEN,55851,822
TACC2,10579,11702
IQSEC1,9922,7352
MLL4,9757,8459
CNTFR,1271,2038
GABRA1,2554,5359
HABP2,3026,3088
FAM125B,89853,7144
DUSP1,1843,2294
FSCN3,29999,2892
TMEM117,84216,2696
RFPL4B,442247,1900
RAB3D,9545,4249
ZNF826,664701,7488
RPSA,3921,1228
C1orf31,388753,790
DEAF1,10522,2962
UBE2O,63893,5980
C17orf103,256302,4781
SLC17A8,246213,3982
POLR2J2,246721,1716
PPIP5K1,9677,6102
RALGAPB,57148,10313
LOC348926,348926,3412
AMIGO3,386724,2971
ITGAM,3684,5253
FHL2,2274,5775
CLGN,1047,2820
SLC25A17,10478,2626
HIST1H4E,8367,376
SIVA1,10572,4216
SMCR7,125170,2643
TRAF1,7185,4602
OR8J1,219477,949
ANKRD20A3,441425,3962
ENPP4,22875,4679
ACER1,125981,1088
RAB26,25837,1804
LOC283663,283663,3571
COPG,22820,3253
VSIG10L,147645,3765
SNORD1B,677849,86
NEURL2,140825,1259
GPR179,440435,7979
POLR3GL,84265,1165
C12orf24,29902,2727
HUNK,30811,7384
OR5H6,79295,978
C7orf28A,51622,1822
SCPEP1,59342,1954
SMU1,55234,7097
FAM129A,116496,7827
MOGAT2,80168,2605
CNIH3,149111,2372
SLC1A6,6511,6528
C1orf183,55924,2369
TRPV6,55503,3429
OR10AD1,121275,954
OR51E1,143503,3102
RTN4RL2,349667,1262
ANGPT4,51378,1919
CPLX2,10814,4934
ANXA5,308,1696
WWC2,80014,9341
ZNF444,55311,2043
RPL34,6164,1012
NDUFA12,55967,597
SPTB,6710,10550
NCKAP1,10787,4631
NCOA4,8031,4081
MIMT1,100073347,1288
CASP1,834,2993
MOBKL2A,126308,3369
RFC1,5981,5007
THSD1,55901,3345
OR52N2,390077,965
ABCA17P,650655,5442
PHF11,51131,2747
EXOSC1,51013,1149
FZD10,11211,3253
NLRC3,197358,6397
PLD6,201164,3807
PROSC,11212,2568
RGS14,10636,3161
SLFN13,146857,8823
RAB22A,57403,8648
GEM,2669,2191
GALNS,2588,3033
PEX5,5830,4310
RBMY1B,378948,1950
PDHX,8050,2987
ST3GAL2,6483,5555
TKT,7086,3050
PHLPP1,23239,4797
PSMB10,5699,979
ZFP28,140612,6609
HIRIP3,8479,2343
LAPTM4B,55353,2237
MPHOSPH9,10198,4353
C1QTNF9,338872,5692
SMR3B,10879,918
FRYL,285527,18032
SIT1,27240,1236
GAGE13,645051,780
RAD9B,144715,4623
GATA5,140628,2595
FARSB,10056,3990
SDR39U1,56948,2128
SMN1,6606,981
FAM86C,55199,2333
PGM2L1,283209,8501
ADCY1,107,12928
CLPP,8192,1169
WNT3,7473,1496
SNORD74,619498,72
TMEM114,283953,643
BID,637,2723
SNORD37,26812,66
SPRY2,10253,3035
UBAP1,51271,3226
C9orf78,51759,3572
RC3H2,54542,6457
RPS3A,6189,2000
KRT10,3858,2139
VRK2,7444,3473
COPS4,51138,1991
HOXB4,3214,2032
C8orf59,401466,1044
DPY19L2,283417,4279
LBP,3929,1823
FMR1,2332,5567
ACAD9,28976,4051
GRM4,2914,7006
WDR65,149465,3103
GPIHBP1,338328,2280
XKR9,389668,3401
MIPOL1,145282,9615
FAH,2184,5213
MRPL28,10573,1117
XRRA1,143570,7173
C2orf64,493753,1907
DACT3,147906,5341
GATS,352954,3573
CD226,10666,3055
ZNF275,10838,7161
SURF1,6834,1356
CIDEC,63924,1598
CRNKL1,51340,4405
QRSL1,55278,5357
GDAP2,54834,9661
CARS2,79587,2599
ZC3H14,79882,5028
MCAT,27349,2059
SYS1-DBNDD2,767557,1447
MUCL1,118430,487
PITPNM3,83394,10181
HSP90AB1,3326,2561
OR4N5,390437,926
HCFC1R1,54985,1000
SLC13A3,64849,5072
CTTNBP2,83992,5967
TANC1,85461,9171
MAST2,23139,7416
SYT10,341359,3466
ZFP91-CNTF,386607,3541
NCCRP1,342897,1973
BARD1,580,2594
GCK,2645,3472
TTLL11,158135,3536
ZC3H12D,340152,2702
SPPL2B,56928,5242
RNF182,221687,3435
ERLIN2,11160,7003
RBX1,9978,519
CDC42EP3,10602,3981
FAM19A4,151647,2232
C19orf45,374877,2214
ABCD4,5826,3328
GAGE12F,100008586,354
C7orf16,10842,1797
TUG1,55000,7818
STK35,140901,6409
MRPS14,63931,1171
LOC283914,283914,3364
TFF3,7033,667
C1orf53,388722,681
MRPL43,84545,3128
HSD17B14,51171,1237
ENAH,55740,13669
NYX,60506,2629
USP32,84669,7748
SNORD119,100113378,96
COPE,11316,1202
VPREB1,7441,641
DTWD2,285605,4972
STX3,6809,3050
LOC374491,374491,3617
RGMA,56963,4003
TTTY12,83867,976
SMARCA4,6597,9547
DNAJC16,23341,7557
FLJ43860,389690,4506
MUDENG,55745,3702
PRMT8,56341,3747
TBC1D3P2,440452,2113
DCC,1630,6245
JPH3,57338,4090
KIAA1949,170954,4597
SAAL1,113174,1539
CAPN14,440854,4012
GIMAP8,155038,3942
USP50,373509,1406
GPRASP1,9737,5968
NDUFB4,4710,1475
HSD11B1L,374875,2348
TIGIT,201633,2139
C9orf80,58493,1517
APBA3,9546,2615
NFKB1,4790,5251
LGALS7B,653499,488
REG1B,5968,1876
ZNF561,93134,4539
IGF1R,3480,11330
C21orf84,114038,579
UNK,85451,5155
FBXL19,54620,3880
DOK7,285489,3843
NOX4,50507,5265
PCSK7,9159,3483
PCSK6,5046,7098
ODF2,4957,4704
CCDC141,285025,12335
NCRNA00105,80161,3015
BCL2L1,598,2777
RBP3,5949,4274
LMF1,64788,4180
VARS2,57176,5891
DACH1,1602,5233
PUS10,150962,5021
CABLES2,81928,3785
FABP1,2168,1878
UTP6,55813,3364
VENTXP7,391518,958
PTGFRN,5738,6160
OPTN,10133,3691
FAM96A,84191,2265
USMG5,84833,553
JMJD1C,221037,10720
ADPGK,83440,4680
KIAA1109,84162,18857
TAL2,6887,646
BAI3,577,6612
ZMAT2,153527,1512
WDR8,49856,6614
IL28B,282617,629
KBTBD5,131377,2419
NCK1,4690,1991
LCE1E,353135,1176
PDLIM3,27295,4160
TSPAN7,7102,2099
C9orf150,286343,2689
USP18,11274,2033
UBE2Z,65264,3090
TMEM225,338661,1096
NAGLU,4669,2780
CAP1,10487,2778
HSP90AB2P,391634,4888
DAZAP2,9802,2821
KIF26B,55083,8197
TAS2R60,338398,956
CPSF4L,642843,647
SEMA7A,8482,3446
PIAS3,10401,3770
PKN2,5586,6696
RYR3,6263,15558
CLDN2,9075,3300
WARS,7453,4039
LMNB2,84823,4643
THRAP3,9967,4678
BSPH1,100131137,654
SLC38A1,81539,9684
C16orf61,56942,838
PLEKHM1,9842,7743
RBBP7,5931,3302
GPR135,64582,2540
NAA40,79829,3595
TMEM229A,730130,2553
SI,6476,6009
VSX2,338917,2988
CRMP1,1400,4302
ZNF267,10308,3265
ENY2,56943,624
C14orf159,80017,4156
TMPRSS11B,132724,2644
OR6A2,8590,1384
PPP2R5C,5527,6399
APOA4,337,1460
C20orf94,128710,1405
WFIKKN2,124857,4135
PDE10A,10846,8575
EPAS1,2034,5664
OR51B2,79345,1055
OSBPL5,114879,4832
RBMS3,27303,2957
ATP1B2,482,3332
PRR20A,122183,1847
TFIP11,24144,3443
ASFMR1,100126270,3028
KCNQ3,3786,3096
LOC100144604,100144604,1762
C2orf39,92749,2491
C8orf84,157869,3797
ISLR2,57611,5011
PLG,5340,2748
IL12A,3592,1436
RPL31P11,641311,1546
TFB1M,51106,1292
MMP14,4323,3537
FAM49B,51571,2374
CEACAM1,634,4839
RFWD3,55159,5081
SNORD114-29,767610,69
C5orf33,133686,4173
SLC1A1,6505,3722
ABHD12,26090,2253
SLC9A4,389015,4137
ALDH1B1,219,3022
C1orf97,84791,1862
LOC100189589,100189589,2144
COPS6,10980,1915
ADORA1,134,3271
SERF2,10169,3030
CRHBP,1393,1968
IL1RL2,8808,1963
TIPIN,54962,1287
ALS2CR11,151254,5689
ADCY10,55811,5655
FANCG,2189,2639
ZC3H11A,9877,6327
ZP4,57829,1634
FLJ34503,285759,2006
B3GALTL,145173,4958
TMEM187,8269,1667
GPR107,57720,8341
ANO10,55129,2853
C19orf59,199675,1308
TXLNG,55787,4080
FBXO31,79791,4335
RPL9,6133,2763
DALRD3,55152,2598
CIC,23152,5473
POLR2J,5439,976
OPRD1,4985,1774
LCE1D,353134,429
ERI1,90459,4615
DNAJC19,131118,1416
MYCT1,80177,3041
KLHL20,27252,3773
PROM1,8842,4603
ARID5B,84159,8018
DHRS13,147015,2035
TFDP3,51270,1680
C20orf203,284805,3868
C6orf186,728464,1402
RNF214,257160,2732
ZNF761,388561,4686
ZMYM1,79830,7824
IL15RA,3601,2357
OTOR,56914,1727
PALM2,114299,9553
LIN28A,79727,4013
KCTD16,57528,5948
EPB41,2035,7228
HIST2H2BF,440689,1809
C12orf74,338809,2147
ZFYVE26,23503,12273
BMS1,9790,8046
EDDM3A,10876,919
MYH6,4624,6481
GALNT10,55568,9074
TMEM8C,389827,665
GOSR1,9527,5728
DNLZ,728489,728
DDX18,8886,3765
OR8H1,219469,934
ELAC2,60528,5300
GUCA2B,2981,597
DGAT1,8694,3705
PRSS23,11098,5843
C1orf190,541468,1848
KRI1,65095,3203
FAM45B,55855,1818
ISOC2,79763,1167
LRRC56,115399,2773
UNC13A,23025,10090
SIGLEC11,114132,3163
MMP17,4326,2547
ZNF350,59348,2339
HCG2P7,80867,3622
PPIAL4G,644591,736
FOLR1,2348,1611
RPS19BP1,91582,926
SFRS14,10147,6600
TTTY7,246122,1464
PCDHGB4,8641,4591
PPIB,5479,1857
ACVR1,90,3269
FLT1,2321,14553
FA2H,79152,2924
ENTHD1,150350,2709
TMEM145,284339,1779
S100A6,6277,683
SMOC1,64093,3669
RPL35A,6165,557
DVL1,1855,4934
TBC1D3C,414060,4973
GPER,2852,3149
MMP20,9313,1955
ATXN10,25814,2970
GDI1,2664,3758
ZNF165,7718,2632
CSDA,8531,1972
SNORD121A,100113379,90
PNOC,5368,2052
DGCR14,8220,5995
MRPL22,29093,3172
TTC26,79989,2805
SLC16A2,6567,4372
THRA,7067,3292
FURIN,5045,4180
NAV2,89797,13261
DYNC1I1,1780,3136
ZBTB2,57621,3085
LRRC45,201255,2598
RPL27,6155,719
MAPK8IP3,23162,9178
NUDT3,11165,1349
UBE2Q1,55585,3223
BDKRB2,624,6889
SLC25A29,123096,2736
FLJ42289,388182,3156
FMO9P,116123,1360
LGR6,59352,4000
ZFAND1,79752,1793
AGER,177,2241
C17orf89,284184,566
SFRS15,57466,5559
RNF183,138065,2270
PANX2,56666,3102
SMARCE1,6605,6142
CORIN,10699,9584
ATRNL1,26033,9101
ATXN7L1,222255,8003
ACSL6,23305,5197
EPM2AIP1,9852,7438
H2BFM,286436,1881
RPL13AP20,387841,659
DUSP9,1852,2602
EIF4ENIF1,56478,4594
MOCS1,4337,4372
RTKN,6242,3693
NSUN5P1,155400,1837
MSH5,4439,7065
IL15,3600,2277
C16orf13,84326,840
SEC24C,9632,4791
PIGY,84992,1353
C19orf56,51398,861
PNPLA7,375775,7701
ZNF785,146540,4084
PPM1M,132160,2800
KCNA5,3741,2864
SOS1,6654,11812
COL3A1,1281,5490
C18orf56,494514,843
HIAT1,64645,2635
PTER,9317,3872
NCKAP1L,3071,3999
MAK,4117,4528
C12orf59,120939,2832
DUSP26,78986,1644
PCDHA10,56139,5399
SEPT3,55964,4654
ATG2B,55102,11098
MYH3,4621,6017
LRRC58,116064,7683
HAMP,57817,424
HCRTR1,3061,2488
POM121L1P,25812,3995
HOXC12,3228,847
C14orf184,650662,2596
MIS12,79003,2788
ARL6IP1,23204,2436
EIF2AK2,5610,2930
MED16,10025,3627
TRIM59,286827,3875
CHRNE,1145,2455
PWRN1,791114,1857
ALX4,60529,1585
FAM58B,339521,988
SPG21,51324,1866
IL2RB,3560,4043
IL1F7,27178,836
TXNDC2,84203,2350
ZNF672,79894,2935
SPAG8,26206,2329
NSD1,64324,13712
IQCF2,389123,628
CTDSP1,58190,2650
PTPRM,5797,5646
ATAD3C,219293,3859
RPS13,6207,528
ADNP2,22850,5385
CREB1,1385,10422
HDGFL1,154150,1072
SEPT7,989,2607
C14orf93,60686,2700
GDPD2,54857,2796
LMAN2L,81562,2521
RNF34,80196,4595
TMEM150C,441027,2083
OR2W1,26692,963
GSTT1,2952,2155
RPL7,6129,1115
LCE3A,353142,269
STXBP4,252983,7217
BPIL1,80341,1896
ACADVL,37,3240
TAS2R13,50838,1637
UNC45A,55898,5883
HOXD11,3237,1566
MOCOS,55034,2726
KRTAP6-3,337968,615
PPP1R12B,4660,11849
BFSP2,8419,1626
KRT8,3856,2241
HOXD3,3232,2299
CSN1S1,1446,981
SNHG1,23642,2771
SNAR-C2,100170218,120
FAM78A,286336,4319
NOL12,79159,3218
FLJ42875,440556,2222
LOC91149,91149,4619
PSMG3,84262,1411
SLC39A4,55630,4935
FLAD1,80308,3976
SUDS3,64426,4727
LONP2,83752,4448
SNX11,29916,2444
PGAM2,5224,833
PRDX6,9588,1670
GPR56,9289,4685
SEPT7L,285961,669
HPGD,3248,4488
ANAPC2,29882,3508
RPL3,6122,2646
DDX1,1653,2705
TBCK,93627,4234
P2RY2,5029,2856
TCP10,6953,5307
NINJ1,4814,1337
SIK3,23387,8588
BRDT,676,4049
C12orf32,83695,1884
HIST2H2AC,8338,436
DAZL,1618,3397
